endpoint,query_budget_cells,model,n_surfaces,eligible_n_ge_5,degree1_ba,degree2_ridge_ba,hamming_kernel_ba,majority_ba,random_score_ba,lift_vs_majority,lift_vs_random_score,degree1_acc,degree1_floor_recall,degree1_ceiling_recall
floor_vs_ceiling_within_range_only,6,gemini-2.5-pro,5,True,0.7089171380546212,0.5959378155792324,0.6097497806625891,0.518,0.4981716900502991,0.19091713805462118,0.2107454480043221,0.8282,0.7096331274281275,0.7053076071540454
floor_vs_ceiling_within_range_only,6,gemini-3-flash-preview,6,True,0.681834607104058,0.6021538922647719,0.6010168450944238,0.5186666666666667,0.4987816276218472,0.16316794043739125,0.18305297948221078,0.8110064102564103,0.5576287182359932,0.7976855578631894
floor_vs_ceiling_within_range_only,6,gpt-5-mini,3,False,0.5858100314984417,0.5303691356101186,0.544793112359129,0.5,0.5005675291270265,0.08581003149844169,0.08524250237141517,0.6421794871794871,0.4965818877258505,0.6750381752710329
floor_vs_ceiling_within_range_only,6,gpt-5.2,7,True,0.6816730401144124,0.5959674505107927,0.5847943328207169,0.5023571428571428,0.5047517432697903,0.1793158972572696,0.1769212968446221,0.7884835164835164,0.6093325438124916,0.7535674228041966
floor_vs_ceiling_within_range_only,6,gpt-5.4-thinking,8,True,0.6841790201781587,0.5948478395590575,0.5846893525628896,0.5034375,0.5002930750132081,0.1807415201781587,0.1838859451649506,0.8157692307692308,0.6005084260333224,0.7676930636760312
floor_vs_ceiling_within_range_only,6,gpt-health,8,True,0.7480957915951219,0.6014635790229913,0.6261156997681848,0.5110625,0.4981602972118181,0.23703329159512188,0.24993549438330376,0.8275817307692308,0.7641748664639733,0.7306725882894023
floor_vs_ceiling_within_range_only,6,llama-3.3-70b-instruct-turbo,3,False,0.6765315180708462,0.6031989719792292,0.598247644125491,0.5,0.5023489153565409,0.17653151807084622,0.1741826027143053,0.7156410256410257,0.6119164547397906,0.7411465814019017
floor_vs_ceiling_within_range_only,12,claude-haiku-4-5,4,False,0.7754721942676132,0.7164925467318415,0.6392799085310116,0.52,0.4947548057007277,0.25547219426761314,0.28071738856688544,0.8676875,0.8748211722090689,0.6674460586730807
floor_vs_ceiling_within_range_only,12,claude-opus-4-6,11,True,0.7610630288918637,0.7023527681291173,0.6245893536243363,0.5186818181818181,0.4994805769927058,0.2423812107100456,0.2615824518991579,0.8554454545454545,0.7449223872518698,0.7695151645073998
floor_vs_ceiling_within_range_only,12,deepseek-r1,10,True,0.7290337780548055,0.6529644203932032,0.6402713141712948,0.53165,0.4996107531185705,0.19738377805480556,0.229423024936235,0.8487950000000001,0.7483259244088721,0.6955163056240955
floor_vs_ceiling_within_range_only,12,gemini-2.5-pro,5,True,0.780123419898385,0.7027952952323734,0.6555723909260674,0.5387,0.5034863861383714,0.241423419898385,0.2766370337600136,0.88254,0.7652517918907253,0.7792774618449542
floor_vs_ceiling_within_range_only,12,gemini-3-flash-preview,6,True,0.7523485928609573,0.7127269871436183,0.6455202147761939,0.5420833333333334,0.5000770118487321,0.21026525952762398,0.25227158101222524,0.8686999999999999,0.6252160248583537,0.8510951762891391
floor_vs_ceiling_within_range_only,12,gpt-5-mini,3,False,0.6154428580714378,0.5487858493208145,0.5409702110038798,0.5,0.4965603375697803,0.11544285807143784,0.11888252050165754,0.6778333333333333,0.4936161948617831,0.7372695212810926
floor_vs_ceiling_within_range_only,12,gpt-5.2,7,True,0.734545198624475,0.6970931799584635,0.5956311150536769,0.5096428571428572,0.4983560742236411,0.2249023414816178,0.2361891244008339,0.8486214285714286,0.6522389903662308,0.8124075408686406
floor_vs_ceiling_within_range_only,12,gpt-5.4-thinking,8,True,0.7387150059391933,0.6999993379620895,0.6048624674594948,0.516,0.5005694859755183,0.22271500593919324,0.23814551996367495,0.87596875,0.6534796016256488,0.819662306391344
floor_vs_ceiling_within_range_only,12,gpt-health,8,True,0.8115002835295189,0.7156013788934019,0.6773460239566398,0.5236875,0.5019223753378866,0.2878127835295189,0.3095779081916322,0.8820875000000001,0.7963053640140273,0.8192517292850042
floor_vs_ceiling_within_range_only,12,llama-3.3-70b-instruct-turbo,3,False,0.7780122057652242,0.7198645560322031,0.6019350312763432,0.5,0.4989435362803977,0.27801220576522423,0.2790686694848265,0.7973333333333333,0.734661149063355,0.8213632624670939
