replicate,model_boot_mean,scenario_cluster_model_weighted_boot_mean,scenario_simple_boot_mean
349,0.7425944826479675,0.7303822192667935,0.747039076280344
350,0.7456706956281844,0.7880728276364947,0.7448250326367922
351,0.7501225594632601,0.7413542110958824,0.7298796569499233
352,0.7393053337570884,0.7412487935493501,0.7327157392328821
353,0.7493132421040744,0.6932552742797503,0.743331394531791
354,0.7587165803996199,0.737511548536543,0.7439789016581948
355,0.7152750988811754,0.7225945221127507,0.706200775112489
356,0.7642661854543231,0.7463729157685238,0.7306348850785324
357,0.7365256759402747,0.7346822773160027,0.7515839041890526
358,0.7421398890000744,0.6931820150109702,0.7159287141213521
359,0.7498398190484685,0.7508970861792725,0.6998593003898753
360,0.7507543769385785,0.7187748938619288,0.7388008968145
361,0.7345880068231485,0.7602974383410538,0.7229678238120127
362,0.7533413030957924,0.7696830306530351,0.7519792672084095
363,0.7495018751074787,0.741861440198118,0.7720697538404532
364,0.7407647778204809,0.7094027876370934,0.7743457563386686
365,0.7368634402553943,0.7768715803739112,0.7474594935439755
366,0.7423434992719,0.7313836402679625,0.7159910752181112
367,0.7425250962358758,0.7476696645235712,0.7143733834510566
368,0.7602551937350549,0.7340151734964716,0.7503588874561994
369,0.7563357052347283,0.7384998974115499,0.7548075707640669
370,0.7479783589597144,0.7471621231816832,0.7039813650561408
371,0.7363442846645404,0.7741374001196568,0.7204961667057804
372,0.7542859259775025,0.7573482932958995,0.7231083531625643
373,0.7375994782345343,0.7584159452436365,0.7382982653277741
374,0.7588883478637294,0.7320846949200039,0.7685367020852347
375,0.7503440849173497,0.7420011719830154,0.7284052794348462
376,0.7606588528756931,0.7728534708087685,0.7473593774618109
377,0.7337246136626903,0.7175658763261624,0.7476643815923432
378,0.7401220801568497,0.7075354254897361,0.7597203844674363
379,0.7532985493030495,0.763428680730677,0.7392212771609686
380,0.7516660492874111,0.7414392471988986,0.7082708764974276
381,0.7428041553284046,0.7643805296443398,0.7192482282476628
382,0.742746005155851,0.792349197017318,0.7469862220211742
383,0.7462690839302448,0.7478904112094555,0.7270143673116066
384,0.7528967690306639,0.755786068480454,0.71616271252229
385,0.7406546912445748,0.7535971382556687,0.7484718011398185
386,0.7496381751913439,0.761002711749967,0.720828634082941
387,0.745129969595175,0.7605557287318707,0.7385988190661154
388,0.7386314641946774,0.729955147107875,0.7293934671803433
389,0.7318041971984248,0.730557059300464,0.716408659400913
390,0.7487119409529365,0.7793054167072423,0.739953897987764
391,0.7400442535449627,0.7482470989974246,0.7499919229465581
392,0.7522171045450664,0.7491739524491156,0.7690537570348297
393,0.7432745021654387,0.7808167124480857,0.7649588943183516
394,0.7362310767943809,0.7590555263797899,0.7061096708876481
395,0.7494892035057347,0.7832053291593571,0.7457072685629184
396,0.7291551403542547,0.7108400193057333,0.7606586833593159
397,0.7674351863622968,0.7249124528618529,0.7530259604942636
398,0.7478687529792752,0.735907801672141,0.706747049311083
399,0.7458750483108241,0.7561232873361268,0.7063659865755276
400,0.7376478231921363,0.7368372691801248,0.7500810621175688
401,0.7486715710216051,0.7207998388676443,0.7611820229220444
402,0.7478937097315471,0.7348431981891788,0.7111661021179936
403,0.7505115499921086,0.7609093795060315,0.7697503324373617
404,0.7541842553164775,0.7452696769998562,0.7306256365461675
405,0.7537167766436924,0.6994585618148468,0.7132758693025844
406,0.7323008272930116,0.7387650271442477,0.7264820063577198
407,0.7528777173909615,0.7466966486729048,0.7546318350759661
408,0.7470923597115966,0.7604946155916362,0.7304101211013363
409,0.7598605032512685,0.7760980843706566,0.7452664320259987
410,0.7335081738527264,0.734640841656341,0.7282767336215397
411,0.7461494980869557,0.7369294334614142,0.7480222975913373
412,0.741741455709948,0.7323546510533017,0.7356432913238891
413,0.7468281680112125,0.7282079360062906,0.7416294683639084
414,0.748613001737662,0.7807901472359637,0.7316366125938663
415,0.728617003870898,0.8032394343074711,0.7293690799662408
416,0.7486316593307399,0.7338657300270655,0.7366767798902754
417,0.7507113854377729,0.7909290033441534,0.7349356362626729
418,0.7353107019386285,0.7366702133776623,0.7071285399516991
419,0.7622571158254038,0.739982100864453,0.7366212134092862
420,0.7570959331576339,0.7399551252513354,0.7296219533491886
421,0.7506357131319739,0.7195646764944221,0.7400555558100349
422,0.7355718398914433,0.7457756308624082,0.7211877758018918
423,0.7506825655809124,0.7330943059916464,0.7464694077250951
424,0.7408547401133874,0.7491630923565921,0.7461100203044639
425,0.7662406002832323,0.762164054670447,0.7644050325097096
426,0.7571250845794356,0.7652621828476684,0.7242262134875591
427,0.7527192126406914,0.7132620370958391,0.7379641676030154
428,0.7420311445698482,0.7156833978498602,0.7080165744426659
429,0.7769648550354551,0.7528541804421409,0.7697110786656759
430,0.7580057941848981,0.7103579928579007,0.7167157158264257
431,0.7624415869110788,0.729820906061477,0.7492234422911884
432,0.7438858619017352,0.7241760001825128,0.7250261150266272
433,0.7477157923123775,0.735865974498451,0.7391263543626259
434,0.7418965796806813,0.7904057819437535,0.7386913375397797
435,0.7459110930961059,0.7899320837715071,0.7280522949156243
436,0.7631523211062149,0.7359604470023408,0.6975994913484955
437,0.7324822185687461,0.7716091731110301,0.7139926487249844
438,0.73143364393162,0.7365092639687865,0.7355771487672154
439,0.7516150609831141,0.7674014077672073,0.7458813055637679
440,0.7321810600463957,0.7584201277157868,0.7033620791531334
441,0.7243103329627755,0.7462593598626814,0.7635507314486649
442,0.7559088391793093,0.7315469960463805,0.7059836958391357
443,0.7583443623949091,0.7727420604609619,0.7323154941794158
444,0.740096349574421,0.7180389650519756,0.7375221988777094
445,0.7314303973611457,0.7205967366027084,0.7634645975685161
446,0.7603073512485907,0.728265034927756,0.692081929576883
447,0.7557139437491298,0.77090297762451,0.7279469351108153
448,0.7426208680947617,0.7789760095283259,0.7172488190786058
449,0.7670896066470126,0.7272317113277559,0.7198642414990074
450,0.7340074959735796,0.7472317222051162,0.7480374293644021
451,0.7425466986978526,0.6990501806924768,0.728644697114138
452,0.7416489282650809,0.7239308860304107,0.745214365687257
453,0.7507377708845672,0.7613932575695079,0.7229042476094852
454,0.7510195167380181,0.747771023843355,0.7278685996264621
455,0.7424399440824135,0.7403438622711048,0.7105214341248767
456,0.7520130528320231,0.7436513759534081,0.7538974852573214
457,0.7369933603013012,0.745750796064727,0.7535485034725484
458,0.7519399940703838,0.7496926674593356,0.7473786044770583
459,0.7245608748976252,0.7310890075428016,0.7459115138618838
460,0.7559657347526316,0.7316222007463777,0.7592438760631299
461,0.7582809686418356,0.7641693862219284,0.7198536190184937
462,0.7577944383293481,0.7323451521150911,0.7707516269114791
463,0.7417628447487767,0.7281430974472134,0.7351189520666309
464,0.7555446894173956,0.7279840127466958,0.7765375547171988
465,0.756412685936801,0.7144061798057966,0.7956901350822851
466,0.7493171350720287,0.764736469993574,0.7480217343160224
467,0.7289593454825936,0.7335299885048162,0.7174489491373395
468,0.7611823500101468,0.7253137646189243,0.7629158936057063
469,0.7490264046091744,0.7362562385937632,0.7360137002876276
470,0.7526782672594088,0.7952640208828703,0.7776148976329479
471,0.747046346483043,0.7120955496437802,0.7496340578213951
472,0.7534068131378088,0.7827863808747767,0.7206944089303351
473,0.7343910377642766,0.7683063057059784,0.7590026357774379
474,0.7418776155874274,0.7298267427029586,0.7331740012600568
475,0.7472269246007637,0.7636847673174032,0.7353950799788354
476,0.7487324079550808,0.7778036839027704,0.7632723085409464
477,0.7439231520231261,0.6987109150377508,0.7060666362650467
478,0.7471118304626885,0.7265867440963832,0.711976230153889
479,0.7417579421976896,0.7285739289178572,0.7380922934267324
480,0.7311362588109542,0.7406747972715195,0.7103677603224927
